english,human_reference_vi
Who we are.,Của chúng ta.
I met her a couple years ago.,Tôi đã gặp cô ấy vài năm trước.
"Q Branch, please.","Chi Nhánh "" Q ""."
We can only wait and see.,Chúng ta có thể đợi và xem điều đó.
"Well, sometimes I think he's pretty much a ghost.","Đôi lúc, tôi nghĩ hắn là một bóng ma thì đúng hơn."
What was a mistake?,Cái gì sai lầm hả?
We lost Ivory.,Chúng ta đã mất Ivory.
You're welcome.,- Không có gì.
I've been thinking.,Tôi nghĩ rồi. Và?
"- Are, uh, having dinner with my dad tomorrow night.",Dùng buổi tối với bố em tối mai.
Hello Sarah.,"Chào, Sarah."
OK.,(Lilly) Ok.
- Dave?,-Dave? !
Miss?,Quý cô?
"No, you didn't.",Không ạ.
"Well, everyone's got...","Vâng, tất cả mọi người đều có..."
"- Thankyou, sir.",Đại úy
Illegal combatant on the Grid.,Đấu sĩ bất hợp pháp trong Mạng Lưới.
I gotta go. Julian's interview's on. I'll see you on Friday.,Anh phải đi thương thuyết hẹn gặp lại em
"""This is him. This is the one.""","""Chính là anh ta, người tôi tìm."""
"Joe, look out!",cẩn thận!
The king shits and the Hand wipes.,Nhà vua làm bậy và Cánh Tay Mặt đi dọn.
"So... 1 bang: yes, 2 means no.","1 gõ là có, 2 gõ là không."
Not here.,Không phải nơi đây.
Game.,Khui.
"Or the ""massage therapist."" None of the flight attendants from every major and regional airline who've wheeled their carts through this house.",Hay là nhân viên mat-xa không phải như vậy
- In a nutshell?,- Ngắn gọn nhé ?
You invited your ex?,Mời cả chồng cũ à?
- Am I going through a canyon?,- Ta có đang đi ngang qua một hẽm núi không hả?
- I got it.,- Con làm được.
I got Salvatore.,Tôi tóm được Salvatore.
Nothing.,Ko có gì.
Are you okay? !,Có sao không hả?
"I told him I had nothing to give, and I didn't.",và vậy thôi.
- We did it.,- Thành công rồi.
"""This... stuff""?",Th#7913;... N#224;y.
Lars Thorwald.,Lars Thorwald.
"I'm the head of security, lady.","Tôi là người đứng đầu khu vực an ninh,thưa bà Trông tôi giống gác cổng cho bà hả?"
Jim.,Jim.
Really? You never fantasize about leaving me for another man?,Em không cần người chồng thứ 2 à?
Go home to Chuck.,Hãy về nhà với Chuck.
Maybe like that:,Có thể như thế này:
What kind of fighting style is that?,Đó là kiểu đánh gì thế?
- They up and left.,- Họ thức dậy và bỏ đi rồi.
"All right, break it up! Clear off, the lot of ya!",Tất cả giải tán!
We agree on more than art.,Chúng ta đồng tình nhiều hơn là nghệ thuật đấy.
He was like a brother to me.,Hắn từng giống như đàn em của tôi.
I'll be there in a minute.,Tôi sẽ đến đó trong chốc lát.
"You would have been,if not for an infusion of your daughter's blood.","Ông đã chết rồi, nếu không có dung dịch pha chế từ máu của con gái ông."
Up there.,Trên đó!
It's wall-to-wall kungfu schools here.,Đoạn đường này đều là Võ quán.
There.,- Đâu?
Try harder.,Cố hơn nữa.
"You have succeeded in your mission, Empress.","Người đã thành công, Hoàng Hậu."
Calm down.,Hãy bình tĩnh lại.
"The system can't provide that for her, I think that I can.","Hệ thống không thể cung cấp cho cô bé điều đó, nhưng tôi nghĩ là tôi có thể."
I don't need any more stuff.,Ta không c§n m¥y thé nïa.
- So maybe you...,- Nên có lẽ chị... - Nên làm tương tự?
- Qualify for what ?,- Đủ tuổi làm gì cơ?
"Sometimes I ate 'em, sometimes I didn't.","Lúc thì tôi ăn chúng, lúc thì không."
He's on his way out.,Ông ta đang bỏ trốn.
He says it's better to fight from high ground.,Ổng nói tốt hơn nên chiến đấu trên vùng đất cao.
Passin' a word or two.,"Nói với nhau một, hai lời."
"It was way too intense, man. It was crazy.","Tôi không thể khống chế bản thân mình, giống như điên vậy đấy."
"""But don't worry, we can make you comfortable""?","""Nhưng đừng lo, chúng tôi có thể giúp cô cảm thấy dễ chịu""?"
"I'm staying with you, doctor.",Tôi ở lại đây với bác sĩ.
Don't tell me to relax.,Đừng biểu tôi phải làm gì.
- President of the United States?,Tổng thống của Hợp Chủng Quốc Hoa Kì sao?
We can't discuss them over the phone?,Không thể nói qua điện thoại sao?
We haven't told the crew you are alive yet.,Chúng tôi chưa báo cho phi hành đoàn anh vẫn còn sống.
"- Sir, please move your balloons.",- Làm ơn đưa bong bóng ra chỗ khác!
You can collect weapons there.,Ở đó có thể kiếm được vũ khí
We can do it together!,Ta có thể làm cũng mà.
"Oh, boy.",Ái chà.
2006 IUCN Red List of Threatened Species.,2006 IUCN Red List of Threatened Species.
I'd like to apologize.,Tôi muôìn xin lỗi cô.
I guess I'm not much good without her.,Tôi nghĩ tôi không còn gì nếu không có bả.
- Let me catch my breath.,- Để cha thở đã.
"You're okay being a loser, right, babe?","Được rồi, cậu là thằng thua cuộc, được chưa, cậu bé?"
chief where did he go again did he go to get leaflets ?,Sở trưởng. Ông ấy đi đâu rồi? Đi tuần tra rồi ư?
Not even your parents.,Kể cả ba mẹ em.
The hospital's in an uproar looking for you.,Bệnh viện đang tìm anh đấy
She was very pretty. Dressed all in white.,Cổ rất đẹp... mặc toàn màu trắng.
Remember to give this jade to Funky,Nhớ đưa vòng ngọc cho Phú
It seems I was killing more people than I was saving.,Nên hình như tôi cứu người thì ít mà hại người ta thì nhiều.
Jesus...,#212;i ch#250;a #417;i!
There's some fucking guy with a fucking chainsaw!,Có vài gã khốn.. với một cái máy cưa chết tiệt!
But now the French.,Ngoại trừ bây giờ là ở Pháp.
For which the minimum sentence is...,Mà án nhẹ nhất là...
I'd start there.,Bắt đầu ở đó.
I told you.,Tôi đã bảo rồi mà.
- Did you make these special for me?,- Có phải cô làm những thứ này cho tôi?
"It happens 'cause, you know, it's war, but what can I tell ya?","Nhưng đôi khi thì...cậu biết đấy, thời chiến mà. Biết nói thế nào cho cậu hiểu nhỉ?"
"Enjoy it. I hear the, uh— the snow's very good at Chamonix.",Tôi nghĩ cảnh tuyết ở đó rất đẹp
"Oh, my God!",Chúa ơi!
Your heart rate is unusually slow. Hmm.,Nhịp tim của cô đập chậm bất thường.
- Okay.,- Được rồi.
"Blair, what have they done?","Blair, họ đã làm gì?"
"I could tell you, but then...","Tôi có thể cho cậu biết, nhưng rồi..."
Don't bother.,Khỏi cần.
"Well, Susie, none of it makes much sense, does it, huh?","Susie, mấy điều đó hơi bất hợp lý, phải không?"
Get up!,Đứng lên!
- Stop the car!,- Dừng xe lại!
I'm fine.,Em ổn.
Schedule for tomorrow.,Xếp lịch vào ngày mai đi.
Just give me a little more time.,Hãy cho tôi thêm thời gian.
Show them some power.,Cho họ thấy chút sức mạnh.
I ain't trying shit!,Tôi chẳng lén lút gì cả!
"If you want to take over the world, we don't teach that, but give it a go.","Cậu làm gì với những khả năng đó sau khi tốt nghiệp thì tùy cậu. Nếu cậu muốn chiếm lấy thế giới, tuy chúng tôi không dạy môn đó, nhưng cậu cứ thử xem sao."
"Wheresoever thou goest, there also will I go.","Bất cứ anh đi đâu, tôi sẽ đi theo đó."
Get me out of here!,Cho tôi ra khỏi đây!
Get off me.,Tránh xa em ra.
"If they're such good friends, why does he barely even mention him?","Nếu họ là bạn tốt, sao anh ta không nhắc tới ông ấy?"
[DOOR OPENS],[DOOR OPENS]
How many of these are still in existence?,Còn bao nhiêu cái này còn tồn tại?
It's fine?,Khỏe?
We'll let you know.,Chúng tôi sẽ cho cô biết sau.
"He's a fine piece of work, our little nobleman.","Đúng là người đàn ông của công việc, quý ông nhỏ của chúng ta."
- Come on. Do something.,- Làm gì đi chứ?
Know what this is?,Bà biết gì đây không?
I'll see myself out.,Tôi ra ngoài.
you'll never see her.,Ngày mai mà em không gọi nữa thì có thể chẳng bao giờ em gặp lại cô ấy nữa đâu đấy.
I'm sure you endured yours with grace.,Tôi tin là phu nhân cũng từng bị thế khi kết hôn với phu quân.
"Maybe someone quiet, who seemed like he was always just a little too close.","Có thể là ai đó trầm lặng, kẻ luôn có vẻ kín đáo quá mức."
