english,human_reference_vi,google_translate
We're the last two who need to disappear to keep her safe.,Chúng ta là hai người cuối cùng phải biến mất Để cho cô ấy được an toàn.,Chúng tôi là hai người cuối cùng cần biến mất để giữ an toàn cho cô ấy.
"Of course, do you know When I'm in a fighting mode, my face is very vicious...","Tất nhiên, ông có biết khi tôi trong trận đánh, mặt của tôi rất xấu xa","Tất nhiên, bạn có biết khi tôi đang trong trạng thái chiến đấu, khuôn mặt của tôi rất hung ác..."
Behold our mortal enemy.,"Và đây, kẻ thù truyền kiếp của chúng ta.",Hãy nhìn xem kẻ thù truyền kiếp của chúng ta.
Er.. well you see.. actually..,ờ... anh thấy đó. thật ra thì...,Er.. bạn thấy đấy.. thực ra..
I am a Transhuman Interactive Machine.,Tôi là người máy giúp đỡ con người,Tôi là một cỗ máy tương tác siêu nhân.
What for?,- Tại sao vậy hả?,Để làm gì?
AJUSSI (Official English Title= The Man From Nowhere) Ajussi: appellation widely used to refer/call an adult man when there's no other appropriate name/title available.,AJUSSI (Official English Title: The Man From Nowhere) Hope you enjoy the film.,AJUSSI (Tiêu đề tiếng Anh chính thức = Người đàn ông đến từ hư vô) Ajussi: tên gọi được sử dụng rộng rãi để chỉ/gọi một người đàn ông trưởng thành khi không có tên/chức danh thích hợp nào khác.
"Now, listen...",Giờ thì hãy lắng nghe...,"Bây giờ, hãy nghe..."
"Well, I could sweetheart, but, uh, I'm at work.","Bố có thể, nhưng bố đang làm việc...","Ừ, anh có thể, em yêu, nhưng anh đang ở chỗ làm."
You shouldn't be here.,Cháu không cần phải đến đây.,Bạn không nên ở đây.
"Yes, you could!",Được chứ sao không!,"Vâng, bạn có thể!"
"And now we will hear from our new chief, Agent O.","Và bây giờ chúng ta sẽ lắng nghe người lãnh đạo mới, đặc vụ O.","Và bây giờ chúng ta sẽ nghe ý kiến ​​từ thủ lĩnh mới của chúng ta, Đặc vụ O."
-Hi.,- Chào.,-CHÀO.
10 min. after 8.,Lúc 8h10.,10 phút. sau 8 giờ.
"- Thank you, Mr. Chairman.",ngài chủ tọa.,- Cảm ơn ngài Chủ tịch.
"If I see you shoplifting again, I am calling the cops.","Nếu tôi còn thấy ông chôm đồ lần nữa, tôi sẽ gọi cảnh sát đó.","Nếu tôi thấy bạn ăn trộm lần nữa, tôi sẽ gọi cảnh sát đấy."
I'm so sorry I kept you guys UP-,Cháu xin lỗi vì làm hai bác phải thức.,Tôi rất xin lỗi vì đã khiến các bạn LÊN-
To take up with a woman is easy.,Để tới với một người phụ nữ thì dễ.,Làm quen với một người phụ nữ thật dễ dàng.
Okay. Yeah.,"Ừ, đồng ý.",Được rồi. Vâng.
Such true and real words! Powerful words!,Thật là những lời lẽ chân thật và mạnh mẽ!,Những lời chân thật và thực tế như vậy! Lời nói mạnh mẽ!
None of this makes any sense if I didn't have... enough.,Chẳng có gì mang ý nghĩa nếu thầy không được viên mãn.,Những điều này sẽ chẳng có ý nghĩa gì nếu tôi không có... đủ.
Bosch will be joining the prison population.,Bosch sẽ là tù nhân.,Bosch sẽ tham gia vào nhóm tù nhân.
All of us are surrounded by ghosts.,Xung quanh ta đều là cái bóng của những người đã khuất.,Tất cả chúng ta đều bị bao quanh bởi những bóng ma.
Let me tell you something...,Nói tôi nghe xem nào.,Hãy để tôi nói cho bạn điều gì đó...
"Get it? Your friends might get me in a rush, but not before I make your head into a canoe.","Lũ bạn mày sẽ hạ tao, nhưng tao sẽ biến đầu mày thành cái gáo trước.","Hiểu chưa? Bạn bè của bạn có thể thúc giục tôi vội vàng, nhưng không phải trước khi tôi đâm đầu bạn vào một chiếc ca nô."
"Ms Gennero, I...","Bà Gennero, tôi...","Cô Gennero, tôi..."
What about you?,Còn anh thì sao?,Còn bạn thì sao?
Is there not anything different between you two?,Không có gì khác nhau giữa hai người sao?,Giữa hai người không có gì khác biệt sao?
"You're kind of a jerk, aren't you?",Vậy là anh thuộc loại đần độn.,"Bạn là một kẻ ngốc, phải không?"
I want to do a profile on you.,Tôi muốn làm một bộ hồ sơ thông tin về cô,Tôi muốn làm một hồ sơ về bạn.
"When they come back, I'll distract them. Then you can go.","Khi họ trở lại, em sẽ làm họ phân tâm.","Khi họ quay lại, tôi sẽ đánh lạc hướng họ. Sau đó bạn có thể đi."
You know how things are.,Anh biết mọi việc thế nào mà.,Bạn biết mọi chuyện thế nào rồi.
"""Dear Andre, what a charming gala Christine was, in a word, sublime","""Ông André thân mến, thật là 1 buổi diễn thành công! Christine quả thật là tuyệt vời!","""Andre thân mến, Christine thật là một buổi dạ tiệc quyến rũ, nói một cách là tuyệt vời."""
You do what you want.,Em muốn sao tùy em.,Bạn làm những gì bạn muốn.
"- Lincoln, no!","- Lincoln, không!","- Lincoln, không!"
Three years.,Phải. Ba năm.,Ba năm.
You've been staying late so many nights.,Con đã ở lại muộn nhiều tối rồi.,Bạn đã thức khuya rất nhiều đêm rồi.
"Ah, Tibetan pit viper venom.","Ah, nọc độc rắn hổ Tây Tạng.","À, nọc độc của rắn hổ lục Tây Tạng."
It's my son-in-law's marriage !,Ngày hôm đó là ngày chúng ta tắm.,Đó là đám cưới của con rể tôi!
"So,did you already check outthe apartment?",Vậy anh đã xem qua căn hộ chưa?,Vậy bạn đã kiểm tra căn hộ chưa?
"This is where we wait for the truck, okay?",Họ chỉ muốn đưa chúng ta đi đâu thôi.,"Đây là nơi chúng ta đợi xe tải, được chứ?"
"No, you haven't.",Chưa bao giờ.,"Không, bạn chưa."
I think we have to stop sleeping together.,"Tớ nghĩ tụi tớ phải ngừng ngủ với nhau. Với tớ và Ted,",Tôi nghĩ chúng ta phải ngừng ngủ cùng nhau.
I spotted it earlier.,Tôi phát hiện nó trước.,Tôi đã phát hiện ra nó sớm hơn.
Tell that OWL I want her to come.,Bảo OWL mình muốn cô ấy đến.,Nói với OWL rằng tôi muốn cô ấy đến.
"Mace, we'll need money.","Mace, chúng ta cần tiền.","Mace, chúng ta cần tiền."
Search:,Tìm & kiếm:,Tìm kiếm:
I love this thing.,Tao yêu thứ này.,Tôi thích điều này.
"But how, with your IUD?","Làm sao được, em có đặt vòng mà?","Nhưng làm thế nào, với vòng tránh thai của bạn?"
"- Here you go. - I'm talking about my money, bitch.",-Tao đang nói về tiền của tao.,"- Đây này. - Tôi đang nói về tiền của tôi đấy, đồ khốn."
Every day I know I will be OK,Every day I know I will be OK,Mỗi ngày tôi biết mình sẽ ổn
"I won't slow you down, ser. My lady.",Tôi sẽ không làm ngài chậm lại đâu-- thưa tiểu thư.,"Tôi sẽ không làm anh chậm lại, ser. Thưa quý cô."
Don't worry.,Đừng lo.,Đừng lo lắng.
- You have more friends than you thought.,Cậu có nhiều bạn hơn cậu tưởng đấy.,- Cậu có nhiều bạn hơn cậu nghĩ đấy.
"- Yes, I'm afraid so.","- Vâng, tôi sợ như vậy.","- Vâng, tôi e là vậy."
"Not now, nor ever!","Bây giờ không, mãi mãi cũng không","Không phải bây giờ, cũng không bao giờ!"
Who we are.,Của chúng ta.,Chúng tôi là ai.
I met her a couple years ago.,Tôi đã gặp cô ấy vài năm trước.,Tôi đã gặp cô ấy vài năm trước.
"Q Branch, please.","Chi Nhánh "" Q "".","Chi nhánh Q, xin vui lòng."
We can only wait and see.,Chúng ta có thể đợi và xem điều đó.,Chúng ta chỉ có thể chờ xem.
"Well, sometimes I think he's pretty much a ghost.","Đôi lúc, tôi nghĩ hắn là một bóng ma thì đúng hơn.","À, đôi khi tôi nghĩ anh ấy gần như là một con ma."
What was a mistake?,Cái gì sai lầm hả?,Một sai lầm là gì?
We lost Ivory.,Chúng ta đã mất Ivory.,Chúng tôi đã mất Ngà.
You're welcome.,- Không có gì.,Không có gì.
I've been thinking.,Tôi nghĩ rồi. Và?,Tôi đã suy nghĩ.
"- Are, uh, having dinner with my dad tomorrow night.",Dùng buổi tối với bố em tối mai.,- Tối mai tôi sẽ ăn tối với bố tôi.
Hello Sarah.,"Chào, Sarah.",Xin chào Sarah.
OK.,(Lilly) Ok.,ĐƯỢC RỒI.
- Dave?,-Dave? !,- Dave?
Miss?,Quý cô?,Cô?
"No, you didn't.",Không ạ.,"Không, bạn đã không làm vậy."
"Well, everyone's got...","Vâng, tất cả mọi người đều có...","Vâng, mọi người đều có..."
"- Thankyou, sir.",Đại úy,- Cảm ơn ngài.
Illegal combatant on the Grid.,Đấu sĩ bất hợp pháp trong Mạng Lưới.,Chiến binh bất hợp pháp trên Lưới.
I gotta go. Julian's interview's on. I'll see you on Friday.,Anh phải đi thương thuyết hẹn gặp lại em,Tôi phải đi. Cuộc phỏng vấn của Julian đang diễn ra. Tôi sẽ gặp bạn vào thứ Sáu.
"""This is him. This is the one.""","""Chính là anh ta, người tôi tìm.""","""Đây là anh ấy. Đây là anh ấy."""
"Joe, look out!",cẩn thận!,"Joe, coi chừng!"
The king shits and the Hand wipes.,Nhà vua làm bậy và Cánh Tay Mặt đi dọn.,Nhà vua ị và khăn lau tay.
"So... 1 bang: yes, 2 means no.","1 gõ là có, 2 gõ là không.","Vậy... 1 bang: có, 2 nghĩa là không."
Not here.,Không phải nơi đây.,Không phải ở đây.
Game.,Khui.,Trò chơi.
"Or the ""massage therapist."" None of the flight attendants from every major and regional airline who've wheeled their carts through this house.",Hay là nhân viên mat-xa không phải như vậy,"Hoặc ""nhà trị liệu mát-xa"". Không có tiếp viên hàng không nào của mọi hãng hàng không lớn và khu vực từng lái xe qua ngôi nhà này."
- In a nutshell?,- Ngắn gọn nhé ?,- Tóm lại?
You invited your ex?,Mời cả chồng cũ à?,Bạn đã mời người yêu cũ của bạn?
- Am I going through a canyon?,- Ta có đang đi ngang qua một hẽm núi không hả?,- Có phải tôi đang đi qua hẻm núi không?
- I got it.,- Con làm được.,- Tôi hiểu rồi.
I got Salvatore.,Tôi tóm được Salvatore.,Tôi đã có Salvatore.
Nothing.,Ko có gì.,Không có gì.
Are you okay? !,Có sao không hả?,Bạn có ổn không? !
"I told him I had nothing to give, and I didn't.",và vậy thôi.,"Tôi nói với anh ấy rằng tôi không có gì để cho, và tôi đã không làm vậy."
- We did it.,- Thành công rồi.,- Chúng tôi đã làm được.
"""This... stuff""?",Th#7913;... N#224;y.,"""Cái... thứ này""?"
Lars Thorwald.,Lars Thorwald.,Lars Thorwald.
"I'm the head of security, lady.","Tôi là người đứng đầu khu vực an ninh,thưa bà Trông tôi giống gác cổng cho bà hả?","Tôi là người đứng đầu bộ phận an ninh, thưa cô."
Jim.,Jim.,Jim.
Really? You never fantasize about leaving me for another man?,Em không cần người chồng thứ 2 à?,Thật sự? Anh chưa bao giờ nghĩ tới việc bỏ em để theo người đàn ông khác à?
Go home to Chuck.,Hãy về nhà với Chuck.,Về nhà với Chuck.
Maybe like that:,Có thể như thế này:,Có lẽ như thế:
What kind of fighting style is that?,Đó là kiểu đánh gì thế?,Đó là phong cách chiến đấu như thế nào?
- They up and left.,- Họ thức dậy và bỏ đi rồi.,- Họ đứng dậy và rời đi.
"All right, break it up! Clear off, the lot of ya!",Tất cả giải tán!,"Được rồi, chia tay đi! Dọn dẹp đi, rất nhiều bạn!"
We agree on more than art.,Chúng ta đồng tình nhiều hơn là nghệ thuật đấy.,Chúng tôi đồng ý về nhiều thứ hơn là nghệ thuật.
He was like a brother to me.,Hắn từng giống như đàn em của tôi.,Anh ấy giống như một người anh trai đối với tôi.
I'll be there in a minute.,Tôi sẽ đến đó trong chốc lát.,Tôi sẽ ở đó trong một phút nữa.
"You would have been,if not for an infusion of your daughter's blood.","Ông đã chết rồi, nếu không có dung dịch pha chế từ máu của con gái ông.",Lẽ ra ông đã như vậy nếu không được truyền máu cho con gái ông.
Up there.,Trên đó!,Trên đó.
It's wall-to-wall kungfu schools here.,Đoạn đường này đều là Võ quán.,Ở đây có các trường dạy kungfu tường tận.
There.,- Đâu?,Ở đó.
Try harder.,Cố hơn nữa.,Hãy cố gắng hơn nữa.
"You have succeeded in your mission, Empress.","Người đã thành công, Hoàng Hậu.","Bạn đã thành công trong nhiệm vụ của mình, thưa Nữ hoàng."
Calm down.,Hãy bình tĩnh lại.,Bình tĩnh nào.
"The system can't provide that for her, I think that I can.","Hệ thống không thể cung cấp cho cô bé điều đó, nhưng tôi nghĩ là tôi có thể.","Hệ thống không thể cung cấp điều đó cho cô ấy, tôi nghĩ rằng tôi có thể."
I don't need any more stuff.,Ta không c§n m¥y thé nïa.,Tôi không cần thêm thứ gì nữa.
- So maybe you...,- Nên có lẽ chị... - Nên làm tương tự?,- Vậy có lẽ cậu...
- Qualify for what ?,- Đủ tuổi làm gì cơ?,- Đủ tiêu chuẩn để làm gì?
"Sometimes I ate 'em, sometimes I didn't.","Lúc thì tôi ăn chúng, lúc thì không.","Đôi khi tôi ăn chúng, đôi khi không."
He's on his way out.,Ông ta đang bỏ trốn.,Anh ấy đang trên đường ra ngoài.
He says it's better to fight from high ground.,Ổng nói tốt hơn nên chiến đấu trên vùng đất cao.,Anh ấy nói tốt hơn là nên chiến đấu từ trên cao.
Passin' a word or two.,"Nói với nhau một, hai lời.",Truyền một hoặc hai từ.
"It was way too intense, man. It was crazy.","Tôi không thể khống chế bản thân mình, giống như điên vậy đấy.",Nó dữ dội quá anh bạn ạ. Thật là điên rồ.
"""But don't worry, we can make you comfortable""?","""Nhưng đừng lo, chúng tôi có thể giúp cô cảm thấy dễ chịu""?","""Nhưng đừng lo lắng, chúng tôi có thể giúp bạn thoải mái""?"
"I'm staying with you, doctor.",Tôi ở lại đây với bác sĩ.,"Tôi sẽ ở lại với anh, bác sĩ."
Don't tell me to relax.,Đừng biểu tôi phải làm gì.,Đừng bảo tôi hãy thư giãn nhé.
- President of the United States?,Tổng thống của Hợp Chủng Quốc Hoa Kì sao?,- Tổng thống Hoa Kỳ?
We can't discuss them over the phone?,Không thể nói qua điện thoại sao?,Chúng ta không thể thảo luận chúng qua điện thoại à?
We haven't told the crew you are alive yet.,Chúng tôi chưa báo cho phi hành đoàn anh vẫn còn sống.,Chúng tôi vẫn chưa nói với phi hành đoàn rằng bạn còn sống.
"- Sir, please move your balloons.",- Làm ơn đưa bong bóng ra chỗ khác!,"- Thưa ông, xin vui lòng di chuyển quả bóng bay của ông."
You can collect weapons there.,Ở đó có thể kiếm được vũ khí,Bạn có thể thu thập vũ khí ở đó.
We can do it together!,Ta có thể làm cũng mà.,Chúng ta có thể làm điều đó cùng nhau!
"Oh, boy.",Ái chà.,"Ôi, chàng trai."
2006 IUCN Red List of Threatened Species.,2006 IUCN Red List of Threatened Species.,Danh sách đỏ các loài bị đe dọa của IUCN năm 2006.
I'd like to apologize.,Tôi muôìn xin lỗi cô.,Tôi muốn xin lỗi.
I guess I'm not much good without her.,Tôi nghĩ tôi không còn gì nếu không có bả.,Tôi đoán tôi sẽ không tốt lắm nếu không có cô ấy.
- Let me catch my breath.,- Để cha thở đã.,- Để tôi thở đã.
"You're okay being a loser, right, babe?","Được rồi, cậu là thằng thua cuộc, được chưa, cậu bé?","Em ổn khi trở thành kẻ thua cuộc, phải không em yêu?"
chief where did he go again did he go to get leaflets ?,Sở trưởng. Ông ấy đi đâu rồi? Đi tuần tra rồi ư?,sếp ơi anh ấy lại đi đâu rồi anh ấy có đi lấy tờ rơi không?
Not even your parents.,Kể cả ba mẹ em.,Kể cả bố mẹ bạn cũng không.
The hospital's in an uproar looking for you.,Bệnh viện đang tìm anh đấy,Bệnh viện đang náo động tìm kiếm bạn.
She was very pretty. Dressed all in white.,Cổ rất đẹp... mặc toàn màu trắng.,Cô ấy rất xinh đẹp. Toàn mặc đồ trắng.
Remember to give this jade to Funky,Nhớ đưa vòng ngọc cho Phú,Nhớ đưa viên ngọc này cho Funky nhé
It seems I was killing more people than I was saving.,Nên hình như tôi cứu người thì ít mà hại người ta thì nhiều.,Có vẻ như tôi đã giết nhiều người hơn là cứu được.
Jesus...,#212;i ch#250;a #417;i!,Chúa Giêsu...
There's some fucking guy with a fucking chainsaw!,Có vài gã khốn.. với một cái máy cưa chết tiệt!,Có một gã khốn kiếp nào đó với một cái cưa máy chết tiệt!
But now the French.,Ngoại trừ bây giờ là ở Pháp.,Nhưng bây giờ là người Pháp.
For which the minimum sentence is...,Mà án nhẹ nhất là...,Trong đó mức án tối thiểu là...
I'd start there.,Bắt đầu ở đó.,Tôi sẽ bắt đầu ở đó.
I told you.,Tôi đã bảo rồi mà.,Tôi đã nói với bạn rồi.
- Did you make these special for me?,- Có phải cô làm những thứ này cho tôi?,- Cậu làm món này đặc biệt cho tôi à?
"It happens 'cause, you know, it's war, but what can I tell ya?","Nhưng đôi khi thì...cậu biết đấy, thời chiến mà. Biết nói thế nào cho cậu hiểu nhỉ?","Nó xảy ra vì, bạn biết đấy, đó là chiến tranh, nhưng tôi có thể nói gì với bạn?"
"Enjoy it. I hear the, uh— the snow's very good at Chamonix.",Tôi nghĩ cảnh tuyết ở đó rất đẹp,"Hãy tận hưởng nó. Tôi nghe nói, ừm— tuyết ở Chamonix rất đẹp."
"Oh, my God!",Chúa ơi!,Ôi chúa ơi!
Your heart rate is unusually slow. Hmm.,Nhịp tim của cô đập chậm bất thường.,Nhịp tim của bạn chậm một cách bất thường. Ừm.
- Okay.,- Được rồi.,- Được rồi.
"Blair, what have they done?","Blair, họ đã làm gì?","Blair, họ đã làm gì thế?"
"I could tell you, but then...","Tôi có thể cho cậu biết, nhưng rồi...","Tôi có thể nói với bạn, nhưng sau đó..."
Don't bother.,Khỏi cần.,Đừng bận tâm.
"Well, Susie, none of it makes much sense, does it, huh?","Susie, mấy điều đó hơi bất hợp lý, phải không?","Susie, chẳng có ý nghĩa gì cả, phải không?"
Get up!,Đứng lên!,Thức dậy!
- Stop the car!,- Dừng xe lại!,- Dừng xe lại!
I'm fine.,Em ổn.,Tôi ổn.
Schedule for tomorrow.,Xếp lịch vào ngày mai đi.,Lịch trình cho ngày mai.
Just give me a little more time.,Hãy cho tôi thêm thời gian.,Chỉ cần cho tôi thêm một chút thời gian.
Show them some power.,Cho họ thấy chút sức mạnh.,Hãy cho họ thấy sức mạnh nào đó.
I ain't trying shit!,Tôi chẳng lén lút gì cả!,Tôi không cố gắng đâu!
"If you want to take over the world, we don't teach that, but give it a go.","Cậu làm gì với những khả năng đó sau khi tốt nghiệp thì tùy cậu. Nếu cậu muốn chiếm lấy thế giới, tuy chúng tôi không dạy môn đó, nhưng cậu cứ thử xem sao.","Nếu bạn muốn thống trị thế giới, chúng tôi không dạy điều đó mà hãy thử."
"Wheresoever thou goest, there also will I go.","Bất cứ anh đi đâu, tôi sẽ đi theo đó.","Bất cứ nơi nào bạn đi, tôi cũng sẽ đi đó."
Get me out of here!,Cho tôi ra khỏi đây!,Đưa tôi ra khỏi đây!
Get off me.,Tránh xa em ra.,Xuống khỏi tôi đi.
"If they're such good friends, why does he barely even mention him?","Nếu họ là bạn tốt, sao anh ta không nhắc tới ông ấy?",Nếu họ là bạn tốt như vậy thì tại sao anh ấy lại hiếm khi nhắc đến anh ấy?
[DOOR OPENS],[DOOR OPENS],[CỬA MỞ]
How many of these are still in existence?,Còn bao nhiêu cái này còn tồn tại?,Có bao nhiêu trong số này vẫn còn tồn tại?
It's fine?,Khỏe?,Nó ổn chứ?
We'll let you know.,Chúng tôi sẽ cho cô biết sau.,Chúng tôi sẽ cho bạn biết.
"He's a fine piece of work, our little nobleman.","Đúng là người đàn ông của công việc, quý ông nhỏ của chúng ta.","Anh ấy là một công việc tuyệt vời, quý ông bé nhỏ của chúng ta."
- Come on. Do something.,- Làm gì đi chứ?,- Cố lên. Làm điều gì đó.
Know what this is?,Bà biết gì đây không?,Biết đây là gì không?
I'll see myself out.,Tôi ra ngoài.,Tôi sẽ tự mình ra ngoài.
you'll never see her.,Ngày mai mà em không gọi nữa thì có thể chẳng bao giờ em gặp lại cô ấy nữa đâu đấy.,bạn sẽ không bao giờ nhìn thấy cô ấy.
I'm sure you endured yours with grace.,Tôi tin là phu nhân cũng từng bị thế khi kết hôn với phu quân.,Tôi chắc chắn rằng bạn đã chịu đựng sự đau khổ của mình một cách duyên dáng.
"Maybe someone quiet, who seemed like he was always just a little too close.","Có thể là ai đó trầm lặng, kẻ luôn có vẻ kín đáo quá mức.","Có lẽ ai đó trầm lặng, người có vẻ như luôn ở quá gần."
