english,human_reference_vi,google_translate,gemini_translate,category
- They up and left.,- Họ thức dậy và bỏ đi rồi.,- Họ đứng dậy và rời đi.,- Họ đã bỏ đi rồi.,idiom
"All right, break it up! Clear off, the lot of ya!",Tất cả giải tán!,"Được rồi, chia tay đi! Dọn dẹp đi, rất nhiều bạn!","Được rồi, giải tán đi! Biến hết đi, lũ các người!",idiom
We agree on more than art.,Chúng ta đồng tình nhiều hơn là nghệ thuật đấy.,Chúng tôi đồng ý về nhiều thứ hơn là nghệ thuật.,Chúng ta đồng ý với nhau nhiều hơn là về nghệ thuật.,simple
He was like a brother to me.,Hắn từng giống như đàn em của tôi.,Anh ấy giống như một người anh trai đối với tôi.,Anh ấy như một người anh em với tôi.,idiom
I'll be there in a minute.,Tôi sẽ đến đó trong chốc lát.,Tôi sẽ ở đó trong một phút nữa.,Tôi sẽ đến ngay thôi.,idiom
"You would have been,if not for an infusion of your daughter's blood.","Ông đã chết rồi, nếu không có dung dịch pha chế từ máu của con gái ông.",Lẽ ra ông đã như vậy nếu không được truyền máu cho con gái ông.,"Ông đã chết rồi, nếu không nhờ truyền máu của con gái ông.",complex
Up there.,Trên đó!,Trên đó.,Ở trên đó.,simple
It's wall-to-wall kungfu schools here.,Đoạn đường này đều là Võ quán.,Ở đây có các trường dạy kungfu tường tận.,Ở đây đâu đâu cũng là trường dạy kungfu.,idiom
There.,- Đâu?,Ở đó.,Đó.,simple
Try harder.,Cố hơn nữa.,Hãy cố gắng hơn nữa.,Cố gắng hơn nữa.,simple
"You have succeeded in your mission, Empress.","Người đã thành công, Hoàng Hậu.","Bạn đã thành công trong nhiệm vụ của mình, thưa Nữ hoàng.","Người đã hoàn thành nhiệm vụ, Hoàng hậu.",simple
Calm down.,Hãy bình tĩnh lại.,Bình tĩnh nào.,Bình tĩnh lại.,idiom
"The system can't provide that for her, I think that I can.","Hệ thống không thể cung cấp cho cô bé điều đó, nhưng tôi nghĩ là tôi có thể.","Hệ thống không thể cung cấp điều đó cho cô ấy, tôi nghĩ rằng tôi có thể.","Hệ thống không thể cung cấp điều đó cho cô ấy, tôi nghĩ tôi có thể.",complex
I don't need any more stuff.,Ta không c§n m¥y thé nïa.,Tôi không cần thêm thứ gì nữa.,Tôi không cần thêm bất cứ thứ gì nữa.,simple
- So maybe you...,- Nên có lẽ chị... - Nên làm tương tự?,- Vậy có lẽ cậu...,- Vậy có lẽ cô...,simple
- Qualify for what ?,- Đủ tuổi làm gì cơ?,- Đủ tiêu chuẩn để làm gì?,- Đủ điều kiện cho cái gì?,idiom
"Sometimes I ate 'em, sometimes I didn't.","Lúc thì tôi ăn chúng, lúc thì không.","Đôi khi tôi ăn chúng, đôi khi không.","Đôi khi tôi ăn chúng, đôi khi không.",complex
He's on his way out.,Ông ta đang bỏ trốn.,Anh ấy đang trên đường ra ngoài.,Anh ta sắp đi rồi.,idiom
He says it's better to fight from high ground.,Ổng nói tốt hơn nên chiến đấu trên vùng đất cao.,Anh ấy nói tốt hơn là nên chiến đấu từ trên cao.,Anh ta nói tốt hơn là nên chiến đấu từ vị trí cao.,complex
Passin' a word or two.,"Nói với nhau một, hai lời.",Truyền một hoặc hai từ.,Nói vài lời.,idiom
"It was way too intense, man. It was crazy.","Tôi không thể khống chế bản thân mình, giống như điên vậy đấy.",Nó dữ dội quá anh bạn ạ. Thật là điên rồ.,"Nó quá căng thẳng, anh bạn. Thật điên rồ.",idiom
"""But don't worry, we can make you comfortable""?","""Nhưng đừng lo, chúng tôi có thể giúp cô cảm thấy dễ chịu""?","""Nhưng đừng lo lắng, chúng tôi có thể giúp bạn thoải mái""?","Nhưng đừng lo, chúng tôi có thể giúp cô thoải mái hơn?",complex
"I'm staying with you, doctor.",Tôi ở lại đây với bác sĩ.,"Tôi sẽ ở lại với anh, bác sĩ.","Tôi sẽ ở lại với ông, bác sĩ.",simple
Don't tell me to relax.,Đừng biểu tôi phải làm gì.,Đừng bảo tôi hãy thư giãn nhé.,Đừng bảo tôi thư giãn.,simple
- President of the United States?,Tổng thống của Hợp Chủng Quốc Hoa Kì sao?,- Tổng thống Hoa Kỳ?,- Tổng thống Hoa Kỳ?,simple
We can't discuss them over the phone?,Không thể nói qua điện thoại sao?,Chúng ta không thể thảo luận chúng qua điện thoại à?,Chúng ta không thể thảo luận chúng qua điện thoại sao?,simple
We haven't told the crew you are alive yet.,Chúng tôi chưa báo cho phi hành đoàn anh vẫn còn sống.,Chúng tôi vẫn chưa nói với phi hành đoàn rằng bạn còn sống.,Chúng tôi chưa nói với phi hành đoàn rằng anh còn sống.,simple
"- Sir, please move your balloons.",- Làm ơn đưa bong bóng ra chỗ khác!,"- Thưa ông, xin vui lòng di chuyển quả bóng bay của ông.","- Thưa ngài, xin hãy di chuyển những quả bóng bay của ngài.",simple
You can collect weapons there.,Ở đó có thể kiếm được vũ khí,Bạn có thể thu thập vũ khí ở đó.,Anh có thể thu thập vũ khí ở đó.,simple
We can do it together!,Ta có thể làm cũng mà.,Chúng ta có thể làm điều đó cùng nhau!,Chúng ta có thể làm điều đó cùng nhau!,simple
"Oh, boy.",Ái chà.,"Ôi, chàng trai.","Ôi, trời ơi.",simple
2006 IUCN Red List of Threatened Species.,2006 IUCN Red List of Threatened Species.,Danh sách đỏ các loài bị đe dọa của IUCN năm 2006.,Danh sách đỏ các loài bị đe dọa của IUCN năm 2006.,simple
I'd like to apologize.,Tôi muôìn xin lỗi cô.,Tôi muốn xin lỗi.,Tôi muốn xin lỗi.,simple
I guess I'm not much good without her.,Tôi nghĩ tôi không còn gì nếu không có bả.,Tôi đoán tôi sẽ không tốt lắm nếu không có cô ấy.,Tôi đoán tôi chẳng ra gì nếu không có cô ấy.,complex
- Let me catch my breath.,- Để cha thở đã.,- Để tôi thở đã.,- Để tôi thở một chút.,idiom
"You're okay being a loser, right, babe?","Được rồi, cậu là thằng thua cuộc, được chưa, cậu bé?","Em ổn khi trở thành kẻ thua cuộc, phải không em yêu?","Em ổn với việc là một kẻ thất bại, phải không em yêu?",idiom
chief where did he go again did he go to get leaflets ?,Sở trưởng. Ông ấy đi đâu rồi? Đi tuần tra rồi ư?,sếp ơi anh ấy lại đi đâu rồi anh ấy có đi lấy tờ rơi không?,"Trưởng phòng, anh ta lại đi đâu rồi? Anh ta đi lấy tờ rơi à?",complex
Not even your parents.,Kể cả ba mẹ em.,Kể cả bố mẹ bạn cũng không.,Ngay cả bố mẹ anh cũng không.,simple
The hospital's in an uproar looking for you.,Bệnh viện đang tìm anh đấy,Bệnh viện đang náo động tìm kiếm bạn.,Bệnh viện đang náo loạn tìm anh đấy.,idiom
She was very pretty. Dressed all in white.,Cổ rất đẹp... mặc toàn màu trắng.,Cô ấy rất xinh đẹp. Toàn mặc đồ trắng.,Cô ấy rất xinh đẹp. Mặc toàn đồ trắng.,simple
Remember to give this jade to Funky,Nhớ đưa vòng ngọc cho Phú,Nhớ đưa viên ngọc này cho Funky nhé,Nhớ đưa miếng ngọc này cho Funky.,simple
It seems I was killing more people than I was saving.,Nên hình như tôi cứu người thì ít mà hại người ta thì nhiều.,Có vẻ như tôi đã giết nhiều người hơn là cứu được.,Có vẻ như tôi đã giết nhiều người hơn là cứu sống.,complex
Jesus...,#212;i ch#250;a #417;i!,Chúa Giêsu...,Chúa ơi...,simple
There's some fucking guy with a fucking chainsaw!,Có vài gã khốn.. với một cái máy cưa chết tiệt!,Có một gã khốn kiếp nào đó với một cái cưa máy chết tiệt!,Có một thằng cha khốn kiếp với cái cưa máy chết tiệt!,simple
But now the French.,Ngoại trừ bây giờ là ở Pháp.,Nhưng bây giờ là người Pháp.,Nhưng bây giờ là người Pháp.,simple
For which the minimum sentence is...,Mà án nhẹ nhất là...,Trong đó mức án tối thiểu là...,Mà mức án tối thiểu là...,simple
I'd start there.,Bắt đầu ở đó.,Tôi sẽ bắt đầu ở đó.,Tôi sẽ bắt đầu từ đó.,simple
I told you.,Tôi đã bảo rồi mà.,Tôi đã nói với bạn rồi.,Tôi đã nói với anh rồi.,simple
- Did you make these special for me?,- Có phải cô làm những thứ này cho tôi?,- Cậu làm món này đặc biệt cho tôi à?,- Anh làm những thứ này đặc biệt cho tôi à?,simple
"It happens 'cause, you know, it's war, but what can I tell ya?","Nhưng đôi khi thì...cậu biết đấy, thời chiến mà. Biết nói thế nào cho cậu hiểu nhỉ?","Nó xảy ra vì, bạn biết đấy, đó là chiến tranh, nhưng tôi có thể nói gì với bạn?","Chuyện đó xảy ra vì, anh biết đấy, đó là chiến tranh, nhưng tôi có thể nói gì với anh đây?",complex
